Tract ID,Population 2010,Population 2000,White 2010,White 2000,Black or African American 2010,Black or African American 2000,American Indian and Alaska Native 2010,American Indian and Alaska Native 2000,Asian 2010,Asian 2000,Native Hawaiian and Other Pacific Islander 2010,Native Hawaiian and Other Pacific Islander 2000,Other Race 2010,Other Race 2000,Two or More Races 2010,Two or More Races 2000,Not Hispanic or Latino 2010,Not Hispanic or Latino 2000,Hispanic or Latino 2010,Hispanic or Latino 2000,Male 2010,Male 2000,Female 2010,Female 2000,Median Age 2010,Median Age 2000,Households 2010,Households 2000,Family Households 2010,Family Households 2000,Husband-wife family 2010,Husband-wife family 2000,Male no wife present 2010,Male no wife present 2000,Female no husband present 2010,Female no husband present 2000,Living alone 2010,Living alone 2000,Living with roommates 2010,Living with roommates 2000,Households with over-60's 2010,Households with over-60's 2000
980401,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
025200,5369,5454,3610,5165,222,3390,81,235,548,34,13,572,584,26,311,908,3889,1625,1480,3829,2673,2755,2696,2699,40,36.4,2125,2094,1078,546,752,221,99,1548,227,1001,567,325,567,325,598,179
031200,,8487,,8116,,1536,,1526,,33,,4356,,40,,625,,1233,,7254,,4182,,4305,,36.0,,2308,,399,,161,,1909,,1684,,514,,514,,373
023300,2624,2591,219,2492,293,245,21,435,1672,15,10,1517,315,27,94,253,2072,430,552,2161,1310,1301,1314,1290,37.8,33.5,620,640,543,64,348,34,65,576,130,539,47,203,47,203,284,77
013500,2556,2666,2001,2584,66,2188,5,53,360,9,2,305,29,5,93,24,2393,110,163,2556,1146,1251,1410,1415,37,36.4,1622,1741,401,1090,348,455,15,651,38,416,1002,94,1002,94,397,153
020402,3997,,2901,,119,,18,,607,,13,,146,,193,,3548,,449,,2500,,1497,,42.6,,2409,,545,,425,,49,,71,,1208,,1208,,574,
031201,6167,,1159,,538,,27,,3672,,35,,513,,223,,5190,,977,,3058,,3109,,38.9,,1740,,1206,,832,,109,,265,,308,,308,,755,
030400,5106,5177,2679,4999,50,2933,6,53,2057,5,6,1931,54,10,254,67,4829,223,277,4954,2507,2482,2599,2695,45.1,42.0,1933,1910,1342,371,1102,120,64,1539,176,1342,411,484,411,484,877,345
011400,,3175,,3142,,61,,36,,3,,3019,,0,,23,,45,,3130,,1442,,1733,,52.6,,1507,,639,,216,,868,,833,,181,,181,,442
031202,3137,,515,,377,,12,,1837,,4,,290,,102,,2596,,541,,1541,,1596,,38.4,,837,,618,,427,,66,,125,,123,,123,,379,
060600,,530,,513,,52,,316,,4,,107,,9,,25,,67,,463,,245,,285,,30.3,,159,,23,,7,,136,,126,,28,,28,,6
980200,320,,236,,36,,2,,30,,3,,4,,9,,295,,25,,245,,75,,62.5,,62,,33,,26,,4,,3,,25,,25,,27,
016801,3218,,2327,,269,,13,,315,,4,,112,,178,,2828,,390,,1865,,1353,,35,,1634,,369,,262,,37,,70,,735,,735,,257,
016800,,6101,,5756,,4092,,938,,56,,444,,10,,216,,576,,5525,,3664,,2437,,33.6,,3194,,1544,,1006,,1650,,619,,100,,100,,145
016802,3264,,2116,,375,,32,,392,,5,,173,,171,,2840,,424,,1882,,1382,,35.5,,1804,,361,,198,,60,,103,,991,,991,,290,
021400,3264,3285,2567,3145,44,2663,12,51,352,21,2,268,109,6,178,136,2871,386,393,2899,1617,1645,1647,1640,38,36.0,1619,1684,655,653,528,315,39,1031,88,631,584,187,584,187,366,103
016000,2465,2026,1346,1919,122,1308,8,91,787,5,4,443,91,9,107,63,2227,159,238,1867,1343,1115,1122,911,44.3,40.7,1633,1418,365,937,277,514,27,481,61,268,985,32,985,32,633,177
025900,4261,4278,1035,4072,436,1178,20,543,2099,21,19,1923,434,16,218,391,3464,739,797,3539,2049,2085,2212,2193,43,39.0,1327,1316,943,243,648,113,86,1073,209,990,285,327,285,327,675,251
045200,6474,6695,2984,6445,96,3128,30,94,2900,9,12,3135,141,2,311,77,6076,287,398,6408,3067,3145,3407,3550,38.8,36.6,2735,2777,1403,839,1056,352,104,1938,243,1446,836,428,836,428,923,401
042602,3243,,1850,,41,,9,,1116,,1,,58,,168,,3060,,183,,1517,,1726,,39.3,,1411,,760,,586,,38,,136,,444,,444,,479,
042600,,7200,,6945,,3948,,83,,18,,2789,,4,,103,,355,,6845,,3352,,3848,,37.8,,3201,,1083,,430,,2118,,1608,,468,,468,,413
040100,4088,4348,2290,4197,73,2467,5,76,1425,11,5,1575,117,3,173,65,3764,228,324,4120,1900,2048,2188,2300,38,35.9,1863,1911,822,670,643,251,60,1241,119,864,673,250,673,250,582,207
047902,3536,3539,1677,3409,47,1791,8,42,1566,9,2,1515,70,8,166,44,3299,147,237,3392,1720,1735,1816,1804,44,40.1,1508,1484,867,465,651,199,57,1019,159,822,478,245,478,245,597,239
013102,2625,,2103,,33,,5,,342,,2,,29,,111,,2491,,134,,1166,,1459,,38.7,,1582,,475,,418,,16,,41,,841,,841,,455,
013101,3811,,2926,,71,,7,,593,,7,,54,,153,,3557,,254,,1722,,2089,,34.9,,2389,,576,,498,,18,,60,,1346,,1346,,490,
047901,6400,6540,2897,6247,156,2971,20,190,2929,13,9,2970,90,5,299,98,6025,267,375,6273,3117,3151,3283,3389,44.1,40.2,2670,2609,1480,813,1120,354,103,1796,257,1415,847,403,847,403,1098,402
042800,2376,2451,1775,2395,19,1926,3,15,471,3,1,432,15,0,92,19,2297,76,79,2375,1135,1155,1241,1296,45.8,43.5,934,962,653,200,568,63,20,762,65,677,225,251,225,251,446,172
010700,5592,5634,908,5525,85,804,12,54,4440,6,2,4598,53,2,92,61,5425,136,167,5498,2636,2622,2956,3012,51.6,50.2,2778,2831,1298,1358,984,556,101,1473,213,1263,1239,262,1239,262,1570,814
035300,7226,7082,2141,6872,55,2600,13,40,4625,21,17,4119,115,9,260,83,6818,363,408,6719,3464,3440,3762,3642,42.2,40.3,2458,2390,1734,485,1294,168,131,1905,309,1687,491,521,491,521,1180,558
061500,11502,,6731,,443,,39,,3545,,26,,238,,480,,10759,,743,,6515,,4987,,35.4,,6785,,1939,,1666,,103,,170,,3525,,3525,,834,
020700,5171,5427,3803,5175,105,4056,24,147,568,53,5,476,383,13,283,430,4232,1189,939,4238,2710,2857,2461,2570,36,34.1,2718,2781,720,1212,541,630,65,1569,114,716,1197,165,1197,165,507,166
017901,,5408,,5191,,3640,,448,,20,,885,,12,,186,,353,,5055,,3306,,2102,,35.0,,3249,,1984,,1262,,1265,,788,,95,,95,,63
061200,4089,,795,,1317,,33,,882,,18,,868,,176,,2587,,1502,,2155,,1934,,35.6,,1115,,766,,390,,110,,266,,245,,245,,440,
015400,5621,5762,3838,5554,167,3891,8,288,1257,16,14,1243,115,9,222,107,5256,312,365,5450,2619,2681,3002,3081,37.7,35.8,2839,2901,1107,1220,899,478,68,1681,140,1104,1212,286,1212,286,806,327
022704,3122,,2407,,43,,12,,420,,2,,63,,175,,2873,,249,,1673,,1449,,39.2,,1611,,649,,539,,41,,69,,637,,637,,365,
022801,5078,4676,2810,4402,159,2125,28,113,619,55,9,386,1099,9,354,1714,2935,2839,2143,1837,2770,2522,2308,2154,34.5,30.4,1850,1341,836,294,566,176,113,1047,157,691,499,255,499,255,345,88
022701,,2751,,2643,,2278,,101,,3,,171,,1,,89,,247,,2504,,1520,,1231,,39.3,,1499,,629,,350,,870,,497,,107,,107,,115
022703,,5140,,4878,,2561,,1479,,56,,429,,144,,209,,649,,4491,,2557,,2583,,32.8,,2205,,653,,346,,1552,,1092,,192,,192,,116
022702,2060,1805,1598,1730,51,1449,2,45,236,7,0,148,67,4,106,77,1806,229,254,1576,1079,961,981,844,38.2,36.9,981,952,379,390,316,238,26,562,37,290,330,65,330,65,203,53
060300,,137,,133,,107,,12,,0,,7,,0,,7,,26,,111,,92,,45,,33.9,,35,,24,,12,,11,,6,,0,,0,,0
012602,2909,,2500,,19,,1,,293,,2,,24,,70,,2775,,134,,1464,,1445,,35.8,,1724,,472,,408,,27,,37,,972,,972,,399,
012601,2329,,1976,,15,,5,,229,,2,,27,,75,,2203,,126,,1042,,1287,,33.8,,1496,,353,,308,,17,,28,,939,,939,,270,
012600,,4915,,4823,,4303,,28,,8,,437,,10,,37,,167,,4748,,2337,,2578,,35.4,,3228,,1955,,875,,1273,,821,,155,,155,,299
030800,5667,5646,3458,5412,84,3665,8,34,1760,14,9,1590,92,9,256,100,5300,365,367,5281,2723,2704,2944,2942,46.4,43.9,2145,2115,1451,472,1209,145,70,1643,172,1459,485,499,485,499,1035,477
015100,2493,2420,1615,2341,69,1703,7,59,655,3,5,540,36,2,106,34,2343,129,150,2291,1128,1116,1365,1304,45.8,43.3,1655,1638,292,1081,243,422,16,557,33,351,1110,39,1110,39,699,373
033100,3968,3739,1610,3644,19,1966,3,22,2127,1,14,1612,59,6,136,37,3751,166,217,3573,1918,1736,2050,2003,45,46.2,1442,1440,1058,342,848,92,56,1098,154,1029,303,317,303,317,736,459
026200,7564,6992,1426,6654,193,1565,37,188,4480,14,28,3743,1106,33,294,1111,5447,2082,2117,4910,3760,3434,3804,3558,39.8,36.0,1907,1790,1505,240,1002,105,172,1550,331,1416,248,449,248,449,946,338
020200,6269,6188,3847,5822,417,3708,76,438,1000,55,24,718,595,16,310,887,4692,1811,1577,4377,3474,3593,2795,2595,36.3,34.1,3228,3006,894,1394,573,821,90,1612,231,813,1530,180,1530,180,765,282
980300,171,,142,,12,,1,,5,,1,,4,,6,,152,,19,,114,,57,,36,,34,,1,,1,,0,,0,,23,,23,,1,
030202,4313,4454,2516,4260,83,2746,10,96,1356,15,5,1300,126,7,217,96,3971,304,342,4150,2049,2057,2264,2397,34.2,32.8,2084,2143,778,822,601,354,58,1321,119,774,796,222,796,222,475,172
025600,5618,5705,1253,5358,147,1430,46,155,3030,20,19,2939,856,23,267,791,4046,1518,1572,4187,2796,2787,2822,2918,41.4,37.1,1558,1527,1209,220,838,84,119,1307,252,1187,232,383,232,383,784,269
030201,3928,3980,2221,3784,46,2382,12,59,1362,13,2,1238,98,7,187,85,3640,257,288,3723,1865,1851,2063,2129,37.2,36.2,1842,1864,810,675,639,279,61,1189,110,810,648,219,648,219,522,213
012202,2986,,1306,,394,,33,,840,,10,,227,,176,,2436,,550,,1827,,1159,,39.9,,1514,,302,,192,,66,,44,,965,,965,,334,
012201,4567,,2190,,259,,41,,1169,,10,,621,,277,,3291,,1276,,2717,,1850,,35.6,,2667,,599,,388,,103,,108,,1601,,1601,,575,
012200,,7035,,6529,,3298,,486,,63,,2085,,24,,573,,1303,,5732,,4278,,2757,,34.0,,3862,,2295,,1556,,1567,,933,,286,,286,,239
032700,6572,6498,2434,6247,68,2846,9,69,3674,5,13,3231,118,16,256,80,6234,270,338,6228,3161,3103,3411,3395,42,39.7,2391,2381,1524,548,1185,210,100,1833,239,1530,530,485,530,485,1084,469
060200,,231,,222,,156,,22,,3,,37,,0,,4,,19,,212,,169,,62,,56.4,,61,,22,,7,,39,,30,,7,,7,,7
021000,4196,4559,3004,4305,92,3083,17,140,425,49,5,394,391,29,262,610,3282,1276,914,3283,2150,2354,2046,2205,35.2,33.5,2005,2203,655,949,477,532,51,1254,127,665,813,168,813,168,379,145
010300,3852,4092,2460,3971,36,2433,5,23,1176,5,4,1437,58,2,113,71,3654,140,198,3952,1929,1972,1923,2120,40.3,39.8,2026,2092,729,929,591,406,42,1163,96,790,857,180,857,180,697,314
061100,4307,,244,,108,,2,,3870,,3,,28,,52,,4216,,91,,2077,,2230,,55.2,,2135,,1126,,880,,67,,179,,964,,964,,1309,
013400,3599,3665,2989,3594,56,3114,3,103,368,8,8,330,40,9,135,30,3417,140,182,3525,1634,1718,1965,1947,36.5,35.5,1979,2115,661,1090,568,436,33,1025,60,598,984,167,984,167,426,128
023400,3660,3492,352,3331,1239,331,14,1613,739,8,190,492,868,298,258,589,2435,886,1225,2606,1719,1679,1941,1813,30.3,28.3,964,922,735,167,336,57,87,755,312,724,157,189,157,189,352,157
020500,2583,2551,2116,2458,45,2162,17,63,237,20,3,152,61,5,104,56,2391,176,192,2375,1735,1723,848,828,42.6,39.5,1325,1379,303,592,235,396,32,787,36,257,529,67,529,67,301,88
033204,3821,,1709,,250,,34,,1286,,13,,298,,231,,3213,,608,,1625,,2196,,25.5,,1598,,608,,368,,75,,165,,451,,451,,455,
011300,3143,3264,529,3202,25,452,0,33,2514,3,2,2682,29,4,44,28,3069,69,74,3195,1428,1491,1715,1773,51.8,49.3,1527,1526,738,696,581,223,35,830,122,763,675,156,675,156,875,472
060501,,412,,407,,77,,68,,0,,222,,8,,32,,89,,323,,192,,220,,34.8,,88,,7,,3,,81,,76,,28,,28,,19
060502,3216,3416,334,3225,988,271,17,1600,925,22,271,626,477,400,204,306,2378,645,838,2771,1457,1497,1759,1919,28.3,24.3,961,983,767,123,253,34,84,860,430,841,156,162,156,162,257,79
016900,2924,2995,2266,2882,97,2414,20,135,295,18,2,206,86,4,158,105,2635,249,289,2746,1822,1885,1102,1110,38.6,35.9,1589,1667,308,799,243,565,33,868,32,258,704,50,704,50,309,92
021500,5096,5195,3917,4973,72,3852,31,95,535,30,5,475,273,2,263,519,4118,1182,978,4013,2460,2570,2636,2625,37.4,35.9,2449,2516,1025,980,792,461,64,1536,169,921,942,262,942,262,535,193
040200,5191,5364,2711,5178,42,2975,18,59,1995,16,11,2027,168,5,246,96,4800,233,391,5131,2483,2491,2708,2873,38.8,36.6,2352,2398,1126,820,868,313,72,1578,186,1163,834,389,834,389,756,268
033202,,7258,,6789,,3495,,442,,16,,2622,,17,,197,,552,,6706,,3367,,3891,,34.0,,3247,,1104,,422,,2143,,1637,,517,,517,,497
013000,4044,4130,3436,4034,25,3550,7,18,417,3,2,410,45,3,112,50,3817,157,227,3973,1860,1978,2184,2152,34.9,34.9,2409,2514,609,1351,522,607,29,1163,58,681,1270,137,1270,137,533,218
030500,3046,3374,1767,3258,337,1912,15,392,705,13,14,747,74,13,134,181,2733,265,313,3109,1618,1676,1428,1698,52.1,55.5,1006,1035,523,374,431,158,37,661,55,545,356,148,356,148,460,283
015800,,6871,,6524,,3222,,2093,,27,,980,,25,,177,,448,,6423,,3499,,3372,,32.4,,3211,,1298,,646,,1913,,1094,,215,,215,,200
015801,3594,,1537,,1033,,14,,654,,10,,160,,186,,3195,,399,,1756,,1838,,36.9,,1635,,687,,353,,57,,277,,654,,654,,460,
015802,2965,,2077,,354,,10,,255,,10,,97,,162,,2664,,301,,1536,,1429,,34.3,,1491,,351,,247,,35,,69,,657,,657,,265,
011700,1783,1747,691,1685,111,603,11,75,834,16,3,932,74,6,59,53,1612,144,171,1603,988,972,795,775,43.6,42.6,1012,1002,292,569,227,358,20,433,45,344,629,72,629,72,286,96
035201,5300,5587,1886,5391,148,2101,16,135,2908,28,12,3033,88,13,242,81,5011,305,289,5282,2689,2850,2611,2737,40.4,37.9,1865,1896,1164,424,832,194,113,1472,219,1200,435,389,435,389,780,311
020600,4711,4836,3810,4636,104,3996,17,124,418,26,11,325,153,11,198,154,4251,439,460,4397,2974,3025,1737,1811,40.7,37.6,2594,2742,599,1218,471,775,56,1524,72,556,1127,107,1127,107,546,164
010400,4545,4859,3014,4762,46,3159,4,30,1270,6,7,1526,55,1,149,40,4306,166,239,4693,2363,2558,2182,2301,41,38.7,2479,2630,848,1268,686,691,57,1362,105,907,1169,199,1169,199,785,272
020900,4372,5092,2427,4759,92,2595,47,89,520,56,8,576,1002,9,276,1434,2185,2944,2187,2148,2232,2674,2140,2418,34.9,32.4,1742,1762,651,560,356,271,95,1202,200,803,614,230,614,230,409,159
022902,2617,2925,1471,2779,68,1303,45,77,255,40,14,288,611,6,153,1065,1215,1895,1402,1030,1389,1492,1228,1433,34.5,31.0,802,771,424,121,242,62,56,650,126,489,142,173,142,173,230,71
016100,5366,5257,1640,4986,2047,1436,14,2655,1188,15,30,730,183,13,264,137,4844,323,522,4934,2371,2388,2995,2869,43.1,39.7,2756,2687,1089,1346,526,536,91,1341,472,1050,1374,131,1374,131,1375,609
047600,5137,5431,2208,5230,77,2366,11,88,2496,14,6,2690,93,6,246,66,4823,202,314,5229,2432,2537,2705,2894,41.4,38.3,2173,2200,1199,596,926,213,78,1604,195,1218,657,355,657,355,852,360
017601,7630,5756,2790,5495,1021,2044,105,918,2777,80,32,2098,467,35,438,320,6589,663,1041,5093,4723,3772,2907,1984,41.5,40.2,4321,2437,1029,1437,616,1144,125,1000,288,668,2740,181,2740,181,940,148
017602,,534,,523,,321,,87,,2,,82,,0,,31,,56,,478,,359,,175,,37.3,,257,,187,,114,,70,,39,,6,,6,,5
012700,3492,3497,2980,3421,15,3052,4,7,340,5,6,332,42,0,105,25,3303,123,189,3374,1607,1650,1885,1847,36.5,35.4,2098,2185,646,1242,569,542,24,943,53,632,1184,131,1184,131,405,198
030900,6581,6771,3590,6533,267,4005,23,322,2318,14,8,2066,113,2,262,124,6102,433,479,6338,3150,3231,3431,3540,46.9,43.8,2345,2377,1766,399,1444,115,88,1978,234,1834,400,644,400,644,1230,506
012800,4106,4209,3533,4114,35,3659,3,17,374,6,3,386,42,6,116,40,3909,154,197,4055,1872,1922,2234,2287,36.6,36.2,2363,2471,732,1304,613,558,38,1167,81,758,1230,197,1230,197,650,270
033201,3683,3075,2008,2855,289,1626,13,202,834,14,13,866,249,13,277,134,3025,345,658,2730,1440,1300,2243,1775,19.9,22.3,647,752,240,266,134,91,30,486,76,285,177,58,177,58,199,165
021200,2779,2882,2303,2755,31,2458,12,37,257,9,4,178,34,3,138,70,2561,212,218,2670,1492,1624,1287,1258,41.3,38.2,1396,1504,533,619,431,343,33,885,69,495,531,162,531,162,367,99
